1,Mer De Noms,2000,1,1
2,Thirteenth Step,2003,1,1
3,Emotive,2004,1,1
4,Ballbreaker,1995,2,2
5,Under Rug Swept Advance),2002,3,3
6,The Cheap Show,2005,4,4
7,Armed & Dangerous,1984,5,5
8,Fistful Of Metal,1984,5,5
9,Spreading the Disease,1985,5,5
10,Among the Living,1987,5,5
11,Im the Man,1987,5,5
12,State Of Euphoria,1988,5,5
13,Persistence of Time,1990,5,5
14,Penikufesin,1993,5,5
15,Sound Of White Noise,1993,5,5
16,Stomp 442,1995,5,5
17,Volume 8 - The Threat Is Real,1998,5,5
18,Return Of The Killer As,1999,5,5
19,Black Earth,1996,5,6
20,Stigmata,1998,5,6
21,Burning Bridges,1999,5,6
22,Burning Japan Live 1999,1999,5,6
23,Wages Of Sin,2001,5,6
24,Rare And Unreleased Songs,2002,5,6
25,Rise Of The Tyrant,2007,5,6
26,The Best Damn Thing,2007,6,7
27,The ultimate collection,2001,7,8
28,Bénabar,2001,4,9
29,Les risques du métier,2003,4,9
30,Live 21 novembre au 116 bar,2004,4,9
31,Live au Grand Rex CD1),2004,4,9
32,Live au Grand Rex CD2),2004,4,9
33,Reprise des négociations,2005,4,9
34,La ptite monnaie,1997,4,10
35,Stronger Than Death,2000,5,11
36,Alcohol Fueled Brewtality,2001,5,11
37,Sonic Brew,2001,5,11
38,1919 Eternal Advance),2002,5,11
39,Shot To Hell,2006,5,11
40,Black Stone Cherry,2006,6,12
41,Bringing It All Back Home,1965,6,13
42,Dylan,1973,6,13
43,Desire,1976,6,13
44,Empire Burlesque,1985,6,13
45,Dylan & The Dead,1989,6,13
46,Menteur,2005,4,14
47,Le Bordel Magnifique,2006,4,14
49,Eye for an Eye,1983,5,16
50,Animosity,1985,8,16
51,Technocracy,1987,5,16
52,Blind,1992,5,16
53,Deliverance,1994,5,16
54,Wiseblood,1996,5,16
55,Americas Volume Dealer,1998,5,16
56,Live Volume,2001,5,16
57,In the Arms of God,2005,5,16
58,The Ultra-Violence,1987,9,17
59,Frolic Through The Park,1988,9,17
60,Act III,1990,5,17
61,Fall From Grace,2001,5,17
62,Adrenaline,1995,5,18
63,Back To School mini maggit),2001,5,18
64,B-Sides & Rarities,2005,5,18
65,No Angel,1999,3,19
66,Communiqué,1979,6,20
67,Making Movies,1980,6,20
68,Love Over Gold,1982,6,20
69,Brothers In Arms,1985,6,20
70,Money For Nothing,1988,6,20
71,On Every Street,1991,6,20
72,Frenchy,2003,6,21
73,The Flower Book,2006,10,22
74,Végétal,2006,10,22
75,G3- Live In Concert,1997,6,23
76,Fallen,2002,6,24
77,The Open Door,2006,6,24
78,Power of Inner Strength,1995,5,25
79,Nemesis,1997,5,25
80,Solidify,1999,5,25
81,Incorporated,2004,5,25
82,Back to Bedlam,2004,3,26
83,Sheffield Steel,1982,6,27
84,Civilized Man,1984,6,27
85,Cocker,1986,6,27
86,Unchain My Heart,1987,6,27
87,One Night of Sin,1989,6,27
88,The Very Best Of,1989,6,27
89,Organic,1996,6,27
90,No Ordinary World,1999,6,27
91,The Ultimate Collection 1968-2003 CD1),2003,6,27
92,The Ultimate Collection 1968-2003 CD2),2003,6,27
93,Heart & Soul,2004,6,27
94,Avo Sessions - Basel - 14 November 2007,2007,6,27
95,Classic Cocker,2007,6,27
96,Hymn for My Soul,2007,6,27
97,Keren Ann,2007,11,28
98,TravelinBlues,1998,12,29
99,Minutes To Midnight,2007,6,30
100,A plus tard crocodile,2005,6,31
101,Je Dis Aime,1999,6,32
102,Qui de nous deux,2003,3,32
103,Burn My Eyes,1994,5,33
104,The More Things Change,1997,5,33
105,The Burning Red,1999,5,33
106,Supercharger,2001,5,33
107,Hellalive,2003,5,33
108,Through the Ashes of Empires,2004,5,33
109,The Blackening,2007,5,33
110,Légende deuxième époque),1989,13,34
111,Le bien-être et la paix,1997,5,35
112,Contraddiction,1999,6,35
113,Killing Is My Business... and Business Is Good!,1985,5,36
114,Peace Sells... But Whos Buying?,1986,5,36
115,So FarSo Good... So What!,1987,5,36
116,Rust In Peace,1990,5,36
117,Countdown To Extinction,1992,5,36
118,Youthanasia,1994,5,36
119,Hidden Treasures,1995,5,36
120,Cryptic Writings,1997,5,36
121,Risk,1999,5,36
122,The World Needs a Hero,2001,5,36
123,The System Has Failed,2004,5,36
124,United Abominations,2007,5,36
125,Sucking My Love,1982,5,37
126,Kill Em All,1983,5,37
127,Ride The Lightning,1984,5,37
128,Master of Puppets,1986,5,37
129,...And Justice For All,1988,5,37
130,Prowling Osaka,1989,5,37
131,Black Album,1991,5,37
132,Live Shit: Binge & Purge in Mexico City CD1),1993,5,37
133,Live Shit: Binge & Purge in Mexico City CD2),1993,5,37
134,Live Shit: Binge & Purge in Mexico City CD3),1993,5,37
135,Load,1996,5,37
136,Reload,1997,5,37
137,Garage Inc. CD1),1998,5,37
138,Garage Inc. CD2),1998,5,37
139,Live in Detroit,1998,5,37
140,S&M CD1),1999,5,37
141,S&M CD2),1999,5,37
142,St. Anger,2003,5,37
143,St. Anger DVD,2003,5,37
144,Quebec City,2004,5,37
145,Mistigri Torture,1996,4,38
146,La Trêve,1999,4,38
147,Tu vas pas mourir de rire,2003,4,38
148,Matador,2005,4,38
149,Life In Cartoon Motion,2007,3,39
150,Cure For Pain,1993,14,40
151,Yes,1995,6,40
152,Like Swimming,1997,15,40
153,Bomber,1979,5,41
154,Ace Of Spades,1980,5,41
155,Another Perfect Day,1983,5,41
156,Sacrifice,1995,5,41
157,We are Motörhead,2000,5,41
158,In Memory,1996,5,42
159,Dead Heart In A Dead World,2000,5,42
160,Jaime Pas lAmour,2003,4,43
161,La femme chocolat,2005,4,43
162,Metal Magic,1983,5,44
163,Projects In The Jungle,1984,5,44
164,I Am The Night,1985,5,44
165,Power Metal,1988,5,44
166,Cowboys From Hell,1990,5,44
167,Vulgar Display Of Power,1992,5,44
168,A Whiplash of Pure Power,1993,5,44
169,Far Beyond Driven,1994,5,44
170,The Great Southern Trendkill,1996,5,44
171,Official Live: 101 Proof,1997,5,44
172,Reinventing The Steel,2000,5,44
173,These Streets,2006,3,45
174,Sleeping With Ghosts,2003,6,46
175,Burning the Process,2001,5,47
176,Beg to Differ,1990,5,48
177,Prove You Wrong,1991,5,48
178,Cleansing,1994,5,48
179,Rude Awakening,1996,5,48
180,Power Of The Damager,2007,5,48
181,A Day At The Races,1976,6,49
182,The Ultimate Rarities Collection,1994,6,49
183,Queen Rocks,1997,6,49
184,Up All Night,2005,6,50
185,Red Hot Chili Peppers,1984,6,51
186,Freaky Styley,1985,6,51
187,The Abbey Road E.P.,1988,6,51
188,Mothers Milk,1989,6,51
189,Blood Sugar Sex Magik,1991,6,51
190,What Hits!?,1992,6,51
191,Out In LA,1994,6,51
192,One Hot Minute,1995,6,51
193,Essential Red Hot Chili Peppers: Under The Covers,1998,6,51
194,Californication,1999,6,51
195,By The Way,2002,6,51
196,Greatest Hits,2003,6,51
197,Live At Slane Castle Audio DVD),2003,6,51
198,Uplift Mofo Party Plan,2003,6,51
199,Live In Hyde Park CD1,2004,6,51
200,Live In Hyde Park CD2,2004,6,51
201,Stadium Arcadium,2006,6,51
202,Smile...It Confuses People,2006,3,52
203,Exactement,2006,16,53
204,Home,1999,5,54
205,Seasons,2003,5,54
206,Next,2005,5,54
207,Alpha,2007,5,54
208,Live,1998,17,55
209,UP ! Red Disc),2002,17,55
210,Rockin The Country,2003,6,55
211,Slave To The Grind,1991,5,56
212,Subhuman Race,1995,5,56
213,Live Undead,1984,5,57
214,Decade of Aggression CD1),1991,5,57
215,Decade of Aggression CD2),1991,5,57
216,Divine Intervention,1994,5,57
217,Undisputed Attitude,1996,5,57
218,Christ Illusion,2006,9,57
219,Slipknot,1999,5,58
220,Iowa,2001,5,58
221,Vol. 3 : The Subliminal Verses,2004,5,58
222,9.0 Live CD1),2005,5,58
223,9.0 Live CD2),2005,5,58
224,Demo CD,1994,5,59
225,Stone Sour Rerelease),2003,5,59
226,Come Whatever) May,2006,6,59
227,Suicidal Tendencies,1983,5,60
228,Join The Army,1987,5,60
229,How Will I Laugh Tomorrow When I Cant Evan Smile Today,1988,5,60
230,Controlled by Hatred/Feel Like Shit,1989,5,60
231,Lights Camera Revolution,1990,5,60
232,FNG,1992,5,60
233,Still Cyco After All These Years,1993,5,60
234,Suicidal For Life,1994,5,60
235,Freedumb,1999,5,60
236,Free Your Soul & Save My Mind,2000,5,60
237,Live At Dynamo Open Air,2000,5,60
238,Wow,2006,3,61
239,System Of A Down,1998,5,62
240,Toxicity,2001,5,62
241,Steal This Album!,2002,5,62
242,Hypnotize,2005,5,62
243,Mezmerize,2005,5,62
244,Lonely Day CDM,2006,5,62
245,Forgiven Not Forgotten,1995,3,63
246,Talk On Corners,1998,3,63
247,Unplugged,1999,3,63
248,In Blue,2000,3,63
249,Radio 2 Live,2001,3,63
250,Live In Dublin,2002,3,63
251,Borrowed Heaven,2004,3,63
252,Red Roses For Me,1984,6,64
253,If I Should Fall From Grace With God,1988,6,64
254,Hells Ditch,1990,6,64
255,Room On Fire,2003,6,65
256,Get Behind Me Satan,2005,14,66
257,Icky Thump,2007,6,66
258,Undertow,1993,5,67
259,Aenima,1997,5,67
260,Lateralus,2001,5,67
261,10 000 Days,2006,5,67
262,Makeshift Grey,2001,5,68
263,ZZ Tops First Album,1970,2,69
264,Rio Grande Mud,1972,2,69
265,Tres Hombres,1973,2,69
266,Fandango,1975,2,69
267,Tejas,1976,2,69
268,Deguello,1979,2,69
269,El Loco,1981,2,69
270,Eliminator,1983,2,69
271,Afterburner,1985,2,69
272,Antenna,1994,2,69
273,Rhythmeen,1996,2,69
274,XXX,1999,2,69
275,Animosity,2001,5,54