1,A Perfect Circle,1
2,AC DC,1
3,Alanis Morissette,0
4,Anaïs,0
5,Anthrax,1
6,Arch Enemy,1
7,Avril Lavigne,0
8,Barry White,0
9,Bénabar,0
10,Benabar et Associés,1
11,Black Label Society,1
12,Black Stone Cherry,1
13,Bob Dylan,0
14,Cali,0
16,Corrosion Of Conformity,1
17,Death Angel,1
18,Deftones,1
19,Dido,0
20,Dire Straits,1
21,Eddy Mitchell,0
22,Emilie Simon,0
23,Eric Johnson,0
24,Evanescence,1
25,Grip Inc.,1
26,James Blunt,0
27,Joe Cocker,0
28,Keren Ann,0
29,Lance & Donna,1
30,Linkin Park,1
31,Louise Attaque,1
32,M,0
33,Machine Head,1
34,Malicorne,1
35,Mass Hysteria,1
36,Megadeth,1
37,Metallica,1
38,Mickey 3D,1
39,Mika,0
40,Morphine,1
41,Motörhead,1
42,Nevermore,1
43,Olivia Ruiz,0
44,Pantera,1
45,Paolo Nutini,0
46,Placebo,1
47,Pressure 4-5,1
48,Prong,1
49,Queen,1
50,Razorlight,1
51,Red Hot Chili Peppers,1
52,Sandi Thom,0
53,Sanseverino,1
54,Sevendust,1
55,Shania Twain,0
56,Skid Row,1
57,Slayer,1
58,Slipknot,1
59,Stone Sour,1
60,Suicidal Tendencies,1
61,Superbus,1
62,System Of A Down,1
63,The Corrs,1
64,The Pogues,1
65,The Strokes,1
66,The White Stripes,1
67,Tool,1
68,Unjust,1
69,ZZ Top,1